T_Feed_C,P_Feed_atm,z_Feed,N_Stages,N_Feed,Reflux_ratio,B_fraction,B_kmolh,D_kmolh,F_Feed_kmolh,P_col_atm,xD,xB,QC_kW,QR_kW,alpha,q_feed,converged
75.36999070109341,2.6123560533294627,0.3153480889944682,28.0,15.0,5.062424148784016,0.2348040462327375,23.480404623273756,76.51959537672624,100.0,2.6123560533294627,0.443092,0.001,-4302.814,5627.25,2.4064,1.1789,True
69.74975598263727,1.2633984752624996,0.3891399895422135,17.0,11.0,2.919755731451601,0.5312865245888196,53.128652458881966,46.871347541118034,100.0,1.2633984752624996,0.46508,0.321973,-1696.157,2908.173,2.5188,1.1345,True
114.66594727405726,1.82767800797736,0.4988852308648828,34.0,27.0,4.213426384387837,0.2430066306692896,24.30066306692897,75.69933693307104,100.0,1.82767800797736,0.59201,0.208037,-3680.974,4495.389,2.1313,0.9449,True
76.38873240599204,1.1327604045363846,0.4281783956502547,32.0,12.0,3.8927854316582393,0.3985296376820982,39.85296376820983,60.147036231790175,100.0,1.1327604045363846,0.563861,0.223182,-2762.118,3839.365,2.4723,1.094,True
86.43311491738676,2.4728945928948125,0.3700248259014567,30.0,15.0,4.428488018198994,0.3922847398195063,39.22847398195063,60.77152601804937,100.0,2.4728945928948125,0.494483,0.176497,-3083.817,4193.869,2.3249,1.1163,True
103.83977994439756,2.1839284728365915,0.2841272795722664,13.0,9.0,3.4870809788697037,0.5289411634601082,52.89411634601082,47.10588365398918,100.0,2.1839284728365915,0.34833,0.227353,-1966.232,2951.301,2.2001,1.0361,True
97.00548566108202,1.6114566538657922,0.5531258785117783,28.0,13.0,3.758664724617909,0.7087064950545483,70.87064950545484,29.129350494545164,100.0,1.6114566538657922,0.63664,0.518715,-1297.33,2243.484,2.2834,1.0075,True
98.5789956919017,2.149931695629548,0.2789285076961337,25.0,17.0,2.347144304094432,0.2293128506436731,22.93128506436732,77.06871493563268,100.0,2.149931695629548,0.413374,0.001,-2407.684,3475.125,2.2439,1.0588,True
82.80583737762174,2.565391327011045,0.395740892451129,27.0,13.0,5.397640270168829,0.4548253363727691,45.48253363727691,54.51746636272309,100.0,2.565391327011045,0.503463,0.266331,-3232.273,4404.065,2.3493,1.1335,True
92.59096018555864,1.0291636468365644,0.6973367566211036,35.0,21.0,2.10262604649205,0.7469020107352351,74.69020107352351,25.30979892647649,100.0,1.0291636468365644,0.772755,0.670518,-735.589,1634.886,2.3478,0.9832,True
115.67189675991628,1.7464425026648651,0.4243524817690801,31.0,16.0,4.933398535596146,0.6278198465715408,62.78198465715408,37.21801534284592,100.0,1.7464425026648651,0.530391,0.361785,-2056.128,2886.987,2.1273,0.9461,True
118.94779438046297,1.8814403162833973,0.2674072981030259,35.0,17.0,5.948398524934062,0.3373256330709736,33.732563307097365,66.26743669290263,100.0,1.8814403162833973,0.42929,0.001,-4294.636,5168.238,2.0943,0.957,True
64.89658855366483,2.5063469385740795,0.3063300741855053,26.0,7.0,1.83603501470805,0.469431319675258,46.9431319675258,53.0568680324742,100.0,2.5063469385740795,0.454911,0.138331,-1397.949,2746.492,2.4955,1.2222,True
91.41176172914022,2.3356868071262022,0.2831665887617665,27.0,6.0,4.302885431007157,0.653768519674162,65.3768519674162,34.6231480325838,100.0,2.3356868071262022,0.411306,0.215289,-1699.717,2843.732,2.2919,1.0987,True
81.18963449600456,2.674986000170072,0.3338953870855213,32.0,21.0,4.696524913926096,0.3993826146867746,39.93826146867747,60.06173853132253,100.0,2.674986000170072,0.468162,0.131345,-3178.559,4428.471,2.3567,1.1533,True
111.1305817160107,1.8077833962462773,0.3596869759217644,28.0,15.0,1.9496485215392647,0.2506072228687871,25.06072228687871,74.93927771312129,100.0,1.8077833962462773,0.480311,0.001,-2068.32,2934.308,2.1606,0.9772,True
102.5209570544987,2.953766476066196,0.4373957567580845,20.0,5.0,4.961115088867615,0.2078559988767794,20.785599887677947,79.21440011232205,100.0,2.953766476066196,0.509053,0.166107,-4395.723,5464.853,2.1721,1.0574,True
83.3122099991228,2.5589132287087173,0.3108347465764668,12.0,5.0,4.668570193533793,0.3402920268926258,34.02920268926258,65.97079731073742,100.0,2.5589132287087173,0.368553,0.199069,-3473.618,4717.3,2.3456,1.1415,True
117.74669502796556,1.349456359095797,0.2554166873532637,18.0,12.0,5.325660191602731,0.6384711250277144,63.84711250277144,36.15288749722856,100.0,1.349456359095797,0.348658,0.20293,-2155.971,2967.377,2.1306,0.9401,True
81.48305428048069,1.2729122198637892,0.6180489996172119,33.0,17.0,3.426495578560089,0.4439997626860134,44.39997626860134,55.60002373139866,100.0,1.2729122198637892,0.706914,0.506694,-2289.17,3291.892,2.4245,1.0537,True
66.16284216098134,2.1430103632265216,0.5398636497673919,17.0,13.0,4.434980230238992,0.6895190514535088,68.95190514535088,31.04809485464912,100.0,2.1430103632265216,0.592082,0.516476,-1558.67,2816.871,2.5035,1.1711,True
113.66134658108538,1.2780329972010562,0.6837183613755554,28.0,19.0,2.6083069282938585,0.7966170629881553,79.66170629881553,20.33829370118447,100.0,1.2780329972010562,0.738126,0.669339,-679.779,1436.271,2.1668,0.9017,True
69.52231677308706,2.820283034715993,0.385667879933517,27.0,12.0,1.50520184207918,0.4867758254081787,48.67758254081787,51.32241745918213,100.0,2.820283034715993,0.520993,0.242823,-1195.863,2528.511,2.4428,1.2056,True
73.59229294364245,2.186470114658553,0.7322812735635904,32.0,23.0,5.28891555276454,0.313993173441331,31.399317344133102,68.6006826558669,100.0,2.186470114658553,0.785736,0.614086,-4022.51,5125.659,2.4419,1.1157,True
